post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
146942896.responsible-slack,2024-07-26T13:03:31.179Z,true,2024-07-26T13:03:31.810Z,2024-07-26T13:03:32.716Z,newsletter,everyone,Responsible Slack,,
146894611.boolean-parameter-to-switches,2024-07-22T20:25:14.652Z,true,2024-07-22T20:25:15.722Z,2024-07-22T20:25:15.722Z,newsletter,only_paid,Boolean Parameter To Switches,,
146791937.a-loaf-of-roadmap,2024-07-19T15:28:57.017Z,true,2024-07-19T15:28:58.809Z,2024-07-19T15:28:58.809Z,newsletter,everyone,A Loaf of Roadmap,,
146730512.thinkie-and-then,2024-07-23T13:40:38.179Z,true,2024-07-23T13:40:38.959Z,2024-07-23T13:40:38.959Z,newsletter,only_paid,Thinkie: And Then…,,
146654221.a-team-is-not-a-tree,,false,,,newsletter,only_paid,,,
146511664.july-founders-call-monday-july-15,2024-07-11T15:43:20.503Z,true,2024-07-11T15:43:21.122Z,2024-07-11T15:43:21.122Z,newsletter,founding,"July Founders' Call: Monday, July 15",,
146511117.the-economic-case-for-junit-max,2024-07-11T15:36:20.504Z,true,2024-07-11T15:36:21.317Z,2024-07-11T15:36:21.317Z,newsletter,everyone,The Economic Case for JUnit Max,,
146446603.thinkie-one-pass-quickly-one-pass,2024-07-16T13:23:31.182Z,true,2024-07-16T13:23:32.138Z,2024-07-16T13:23:32.138Z,newsletter,only_paid,"Thinkie: One Pass Quickly, One Pass Good",,
146416692.thinkie-growth-rate-not-absolute,2024-07-09T13:43:59.844Z,true,2024-07-09T13:44:00.910Z,2024-07-09T13:44:00.910Z,newsletter,only_paid,"Thinkie: Growth Rate, Not Absolute Number",,
146402458.standups-individual-teammate,2024-07-08T15:49:14.485Z,true,2024-07-08T15:49:15.239Z,2024-07-08T15:49:15.239Z,newsletter,everyone,Standups: Individual → Teammate,,
146171553.thinkie-composed-solution,2024-07-02T12:59:37.445Z,true,2024-07-02T12:59:38.166Z,2024-07-02T12:59:38.166Z,newsletter,only_paid,Thinkie: Composed Solution,,
146168580.tdd-is-not-hill-climbing,2024-07-01T15:54:34.121Z,true,2024-07-01T15:54:37.451Z,2024-07-01T15:54:37.451Z,newsletter,everyone,TDD is Not Hill Climbing,Not exactly. But kinda.,
145982636.thinkie-scale-down,2024-06-25T14:41:40.510Z,true,2024-06-25T14:41:42.773Z,2024-06-25T14:41:42.773Z,newsletter,only_paid,Thinkie: Scale Down,,
145979960.hinge,2024-06-25T13:03:51.964Z,true,2024-06-25T13:03:52.785Z,2024-06-25T13:03:52.785Z,newsletter,only_paid,Hinge,,
